iter	Passed	Remaining
0	209	209143
1	237	118448
2	250	83408
3	260	64966
4	270	53912
5	278	46086
6	286	40665
7	293	36412
8	303	33455
9	311	30807
10	321	28923
11	335	27632
12	348	26444
13	366	25797
14	380	24967
15	397	24475
16	421	24358
17	435	23760
18	448	23145
19	456	22357
20	467	21778
21	480	21347
22	491	20884
23	504	20504
24	520	20301
25	535	20068
26	551	19865
27	567	19685
28	582	19487
29	595	19241
30	605	18930
31	616	18651
32	631	18504
33	647	18394
34	664	18318
35	680	18223
36	695	18108
37	708	17942
38	718	17694
39	730	17541
40	745	17447
41	761	17367
42	777	17305
43	793	17235
44	809	17174
45	826	17130
46	844	17118
47	859	17055
48	876	17006
49	892	16953
50	907	16881
51	919	16754
52	928	16585
53	940	16478
54	951	16341
55	960	16190
56	970	16056
57	985	16008
58	995	15880
59	1007	15783
60	1023	15751
61	1038	15711
62	1059	15763
63	1071	15670
64	1081	15557
65	1090	15434
66	1116	15552
67	1132	15515
68	1156	15602
69	1174	15599
70	1189	15560
71	1204	15526
72	1224	15550
73	1240	15527
74	1255	15483
75	1270	15443
76	1288	15442
77	1304	15423
78	1321	15401
79	1336	15372
80	1352	15343
81	1365	15282
82	1374	15181
83	1385	15112
84	1396	15033
85	1404	14928
86	1417	14876
87	1427	14798
88	1436	14707
89	1450	14665
90	1462	14609
91	1471	14518
92	1483	14471
93	1499	14448
94	1514	14424
95	1521	14326
96	1532	14262
97	1540	14180
98	1548	14096
99	1561	14050
100	1568	13963
101	1579	13905
102	1585	13808
103	1594	13738
104	1600	13643
105	1610	13584
106	1616	13491
107	1626	13434
108	1632	13343
109	1642	13289
110	1648	13201
111	1659	13155
112	1664	13069
113	1675	13020
114	1683	12958
115	1693	12905
116	1699	12823
117	1709	12778
118	1715	12699
119	1725	12653
120	1731	12578
121	1742	12538
122	1748	12463
123	1758	12421
124	1764	12348
125	1776	12320
126	1782	12256
127	1792	12209
128	1798	12144
129	1808	12103
130	1815	12042
131	1825	12003
132	1831	11941
133	1841	11900
134	1847	11839
135	1857	11800
136	1863	11740
137	1875	11712
138	1881	11654
139	1892	11626
140	1904	11602
141	1914	11570
142	1932	11580
143	1947	11575
144	1961	11568
145	1977	11568
146	1994	11571
147	2012	11585
148	2026	11573
149	2042	11573
150	2056	11564
151	2072	11561
152	2093	11590
153	2108	11584
154	2124	11583
155	2140	11581
156	2155	11571
157	2172	11574
158	2188	11575
159	2201	11557
160	2209	11516
161	2225	11512
162	2241	11509
163	2256	11503
164	2272	11500
165	2286	11486
166	2294	11445
167	2308	11430
168	2320	11411
169	2327	11366
170	2335	11322
171	2341	11271
172	2349	11233
173	2356	11186
174	2364	11146
175	2370	11098
176	2379	11062
177	2385	11015
178	2391	10969
179	2398	10926
180	2404	10880
181	2414	10850
182	2421	10809
183	2431	10784
184	2438	10740
185	2447	10710
186	2454	10669
187	2465	10646
188	2470	10602
189	2480	10573
190	2486	10530
191	2496	10504
192	2502	10463
193	2510	10430
194	2516	10388
195	2522	10346
196	2531	10319
197	2537	10277
